1;4933.0102;802.72285;374.08333;193.51;4745.968535;5120.051865;705.96785;899.47785
14;5487.8311;1159.2377;278.208;153.79167;5348.7271;5626.9351;1082.341865;1236.133535
178;5402.7954;1592.5449;138.24;69.12;5333.6754;5471.9154;1557.9849;1627.1049
355;5349.6326;1905.8617;269.28;100.802;5214.9926;5484.2726;1855.4607;1956.2627
542;4336.3117;2445.8353;574.55667;237.6;4049.033365;4623.590035;2327.0353;2564.6353
1041;5059.1961;2923.7668;122;110.299;4998.1961;5120.1961;2868.6173;2978.9163
1057;3403.0349;2810.7678;231;101;3287.5349;3518.5349;2760.2678;2861.2678
1428;6021.903;3169.3905;103.33333;56.666667;5970.236335;6073.569665;3141.057167;3197.723834
1732;7855.0146;3452.7466;115.97233;49.494333;7797.028435;7913.000765;3427.999434;3477.493767
1789;1712.5184;504.50402;129.59997;55.439989;1647.718415;1777.318385;476.7840255;532.2240145
1898;7836.4338;3499.4109;94.444333;38.889;7789.211634;7883.655967;3479.9664;3518.8554
3319;8800.084;4412.1628;164.4;78;8717.884;8882.284;4373.1628;4451.1628
3610;1759.4318;1102.1856;97.199981;50.39999;1710.83181;1808.031791;1076.985605;1127.385595
3977;2047.8082;1136.4363;84.599983;43.199991;2005.508209;2090.108192;1114.836305;1158.036296
4360;9258.7357;5065.5117;156;82.8;9180.7357;9336.7357;5024.1117;5106.9117
4591;1227.0534;1253.8302;85.199983;36.599993;1184.453409;1269.653392;1235.530204;1272.130197
4767;1340.2599;1326.5407;92.399982;40.79992;1294.059909;1386.459891;1306.14074;1346.94066
5670;1913.0834;5923.6582;590.97667;222.912;1617.595065;2208.571735;5812.2022;6035.1142
6038;1975.5492;1714.5832;153.79197;69.983986;1898.653215;2052.445185;1679.591207;1749.575193
6785;2165.4541;6298.8022;226.368;110.592;2052.2701;2278.6381;6243.5062;6354.0982
7269;1061.9847;1978.5964;115.77598;52.703989;1004.09671;1119.87269;1952.244406;2004.948395
7664;2147.6268;2571.1293;109.72798;59.615988;2092.76281;2202.49079;2541.321306;2600.937294
8372;2442.9952;2283.6976;120.95998;46.655991;2382.51521;2503.47519;2260.369605;2307.025596
8624;1962.7929;2243.5797;131.32797;55.295989;1897.128915;2028.456885;2215.931706;2271.227695
8693;511.79529;2182.842;169.3433;61.343988;427.12364;596.46694;2152.170006;2213.513994
9807;2158.7992;3004.9656;106.27198;47.51999;2105.66321;2211.93519;2981.205605;3028.725595
9834;6413.3109;8778.4898;316.224;129.6;6255.1989;6571.4229;8713.6898;8843.2898
9974;5649.0469;9326.2891;174.528;74.304;5561.7829;5736.3109;9289.1371;9363.4411
